Subscribe
![rss feed icon](https://www.agriculture.gov.au/sites/default/files/images/rss-symbol.png) Import Industry Advice Notices RSS Feed
| Import industry advice notices 2024 |  |  | 
| 19 April 2024 | 69-2024 | Public engagement on changes to regulatory charges for biosecurity and imported food activities | 
| 18 April 2024 | 68-2024 | Conclusion of the 2023-24 Burnt Pine Longicorn (BPL) flight season and BPL vessel inspections | 
| 15 April 2024 | 67-2024 | Scheduled Outage: Saturday 20 April 2024 – BICON | 
| 10 April 2024 | 66-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspended – Lanodir USA Inc (AEI: US4059SB) | 
| 08 April 2024 | 65-2024 | Unplanned Service Disruption: Monday 08 April 2024 – BICON | 
| 05 April 2024 | 64-2024 | Changes to regulatory charges for biosecurity and imported food activities | 
| 05 April 2024 | 63-2024 | Scheduled Service Disruption: Friday 05 April to Saturday 06 April 2024 – Biosecurity Portal | 
| 04 April 2024 | 62-2024 | Services Restored: Wednesday 03 April 2024 – PEBS | 
| 03 April 2024 | 61-2024 | Service Disruption: Wednesday 03 April 2024 – PEBS | 
| 02 April 2024 | 60-2024 | Update: Minimum documentary and import declaration requirements policy – Industry focus groups | 
| 02 April 2024 | 59-2024 | Document Assessment Outside Business Hours- New Process | 
| 02 April 2024 | 58-2024 | New biosecurity cost recovery charge on self-assessed clearance (SAC) declarations to start from 1 July 2024 – to be applied to the entity lodging the SAC | 
| 02 April 2024 | 57-2024 | Import conditions for fresh chilli fruit from Fiji | 
| 27 March 2024 | 56-2024 | Minimum documentary and import declaration requirements policy – Industry focus groups. | 
| 25 March 2024 | 55-2024 | Scheduled Outage: Saturday 06 April to Sunday 07 April 2024 - BICON | 
| 25 March 2024 | 54-2024 | Services Restored: 25 March 2024 – Imports Request for Inspection Western Australia Mailbox | 
| 22 March 2024 | 53-2024 | Unplanned Service Disruption: Wednesday 20 March 2024 – Imports Request for Inspection Western Australia Mailbox | 
| 22 March 2024 | 52-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: Reinstatement of treatment providers – Haraco Offshore (AEI: DE4020SB) and Environnement Services (AEI: FR4003SB) | 
| 22 March 2024 | 51-2024 | Class 3.2 Imported pig meat processing – information to support class conditions in relation to the department’s requirements for the treatment and disposal of ‘Imported pig meat’ and ‘Imported pig meat waste’. | 
| 21 March 2024 | 50-2024 | For open consultation: Changes to BICON Standard List of Laboratory Microorganisms and Infectious Agents | 
| 19 March 2024 | 49-2024 | Approval of new Recognised Offshore Cleaning and Pre-inspection Provider (ROCIP) facilities in Japan for used motorcycles and associated parts for export to Australia | 
| 18 March 2024 | 48-2024 | Scheduled Outage: Thursday 21 March to Friday 22 March 2024 – MARS | 
| 14 March 2024 | 47-2024 | Scheduled Outage: Monday 18 March to Tuesday 19 March 2024 – DAFF applications | 
| 14 March 2024 | 46-2024 | Scheduled Outage: Thursday 14 March to Friday 15 March 2024 – DAFF applications | 
| 14 March 2024 | 45-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspended - Grupo AB 23 s.l. (AEI: ES4008SB) | 
| 14 March 2024 | 44-2024 | Scheduled Outage: Friday 15 March 2024 – Import Management System | 
| 14 March 2024 | 43-2024 | Import conditions developed for returning Australian inorganic products | 
| 13 March 2024 | 42-2024 | Scheduled Service Disruption: Wednesday 13 to Thursday 14 March 2024 – BICON, COLS, MARS, OPS, and PEBS | 
| 12 March 2024 | 41-2024 | Scheduled Service Disruption: Tuesday 12 to Wednesday 13 March 2024 – BICON, COLS, MARS, OPS, and PEBS | 
| 8 March 2024 | 40-2024 | Import Document Assessment Delays | 
| 8 March 2024 | 39-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspended - Haraco Offshore GmBH (AEI: DE4020SB) | 
| 7 March 2024 | 38-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspended - Descroes BV (AEI: BE4001SB) | 
| 4 March 2024 | 37-2024 | Further update and advice for Aircraft Disinsection rates – Publication of DAFF Schedule Version 5.3 and WHO 2nd Edition commencement | 
| 1 March 2024 | 36-2024 | Urgent Scheduled Outage: Friday 01 March 2024 - BICON | 
| 1 March 2024 | 35-2024 | Unplanned Service Disruption: Friday 01 March 2024 – Biosecurity direction messaging delays | 
| 28 February 2024 | 34-2024 | Service Disruption: Saturday 02 March to Sunday 03 March 2024 COLS | 
| 28 February 2024 | 33-2024 | Have Your Say – Proposed changes to the department’s Imported Inorganic Fertiliser Management Policy – Extension notice | 
| 27 February 2024 | 32-2024 | Scheduled Outage: Wednesday 28 February to Thursday 29 February 2024 – Import Management System and SeaPest/S-Cargo messaging | 
| 26 February 2024 | 31-2024 | Scheduled Outage: Wednesday 28 February to Thursday 29 February 2024 – COLS, MARS, OPS and PEBS | 
| 22 February 2024 | 30-2024 | Services Restored: Thursday 22 February 2024 – PEBS | 
| 22 February 2024 | 29-2024 | Service Disruption: Thursday 22 February 2024 – PEBS | 
| 20 February 2024 | 28-2024 | *Cancelled* Scheduled Service Disruption: Saturday 24 February to Sunday 25 February 2024 COLS | 
| 19 February 2024 | 27-2024 | Scheduled Service Disruption: Sunday 25 February 2024 - BICON | 
| 19 February 2024 | 26-2024 | Service Disruption: Saturday 24 February to Sunday 25 February 2024 COLS | 
| 19 February 2024 | 25-2024 | Scheduled Outage: Wednesday 21 February to Thursday 22 February 2024–DAFF applications | 
| 16 February 2024 | 24-2024 | Class 14.4 Approved Arrangement – Expansion of eligible containers for Industry Inspection | 
| 16 February 2024 | 23-2024 | Updates and Actions Required for Aircraft Disinsection rates - Forthcoming DAFF Schedule Version 5.3 and WHO 2nd Edition commencement | 
| 15 February 2024 | 22-2024 | Scheduled Outage: Sunday 18 February to Monday 19 February 2024 – BICON and MARS impacted, COLS, OPS, and PEBS unavailable. | 
| 14 February 2024 | 21-2024 | Services Restored: Wednesday 14 February 2024– Biosecurity Portal | 
| 14 February 2024 | 20-2024 | Unplanned Service Disruption: Wednesday 14 February 2024 – Biosecurity Portal | 
| 11 February 2024 | 19-2024 | Scheduled Outage: Friday 16 February to Saturday 17 February 2024 – COLS, MARS, OPS, and PEBS | 
| 09 February 2024 | 18-2024 | Voluntary fumigation of fresh cut flowers and foliage in 2024 | 
| 08 Februrary 2024 | 17-2024 | Scheduled Outage: Friday 09 February to Saturday 10 February 2024 – DAFF applications | 
| 07 Februrary 2024 | 16-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspended – A-Fumigone Pte Ltd (AEI: SG4014SB) | 
| 06 February 2024 | 15-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider suspended - Environnement Services (AEI: FR4003SB) | 
| 05 February 2024 | 14-2024 | Scheduled Outage: Friday 09 February 2024 – Biosecurity Portal | 
| 05 February 2024 | 13-2024 | *Cancelled* Scheduled Outage: Monday 05 February 2024 – BICON impacted, COLS, OPS, and PEBS unavailable. | 
| 02 February 2024 | 12-2024 | Scheduled Outage: Monday 05 February 2024 – BICON impacted, COLS, OPS, and PEBS unavailable | 
| 02 February 2024 | 11-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: Reinstatement of treatment provider - Fumigat Srl (AEI: IT4007SB) | 
| 02 February 2024 | 10-2024 | Industry Information Session – Proposed changes to the department’s Imported Inorganic Fertiliser Management Policy | 
| 01 February 2024 | 09-2024 | Voluntary fumigation of fresh cut flowers and foliage in 2024 | 
| 01 Feburary 2024 | 08-2024 | Services Restored: Thursday 01 February 2024 – PEBS | 
| 22 January 2024 | 07-2024 | Urgent Scheduled Outage: Monday 22 January 2024 – Biosecurity Portal | 
| 22 January 2024 | 06-2024 | Scheduled Outage: Saturday 27 January to Sunday 28 January 2024 – DAFF messaging | 
| 22 January 2024 | 05-2024 | Service Disruption: Saturday 27 January to Sunday 28 January 2024 BICON and COLS | 
| 22 January 2024 | 04-2024 | Scheduled Service Disruption: Sunday 28 January 2024 - BICON | 
| 22 January 2024 | 03-2024 | Have Your Say – Proposed changes to the department’s Imported Inorganic Fertiliser Management Policy | 
| 19 January 2024 | 02-2024 | Update: Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme – Sulfuryl Fluoride (SF) Direction | 
| 12 January 2024 | 01-2024 | Offshore Brown Marmorated Stink Bug (BMSB) Treatment Providers Scheme: treatment provider under review – Fumigat SRL (AEI: IT4007SB) |
